Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Shimoneta To Iu Gainen Ga Sonzai Shinai Taikutsu,96,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Trinity Seven,96,Assistido,Não,2ª Temporada?,1x,,1,12,12,2014,Ação. Comédia. Ecchi. Fantasia. Harém?. Magia. Romance. School. Shounen. Sobrenatural,V,1,22,12,264
Owari No Seraph 1 E 2,96,Assistido,Não,3ª Temporada?,1x,,2,24,12.12,,,,1,22,24,528
Yuusha Ni Narenakatta Ore Wa Shibushibu Shuushoku O Ketsui Shimashita,96,Assistido,Não,,1x,,1,12,12,2013,ComédiaEcchiFantasiaRomance,V,1,22,12,264
Tenkyou No Alderamin,96,Assistido,,,1x,,1,13,13,2016,AçãoAventuraFantasiaMilitar,V,1,22,13,286
Sakamoto Desu Ga,96,Assistido,,,,,1,13,13,2016,ComédiaSeinenSlice Of LifeVida Escolar,V,1,22,13,286
Taboo Tattoo,96,Assistido,,,,,1,12,12,2016,AçãoArtes MarciaisComédiaMistérioSeinenSobrenaturalSuperpoder,V,1,22,12,264
Shingeki No Bahamut,95.9,Assistido,Não,3ª Temporada 2021,1x,,2,36,12.24,,,,1,22,36,792
Witch Craft Works,95.6,Assistido,Não,,1x,,1,12,12,2014,AçãoFantasiaMagiaSeinenSobrenatural,V,1,22,12,264
Mob Psycho 100,95,Assistido,Não,-,1x,,2,25,12.13,,,,1,22,25,550
Madan No Ou To Vanadis,95,Assistido,,2 Temporada-,1x,,1,13,13,2014,AventuraEcchiFantasiaHarém?Romance,V,1,22,13,286
Mahouka Koukou No Retoussei,95,Assistido,Não,2ª Temporada 3 de Outubro,2x,,1,26,26,2014,AçãoFicção CientíficaMagiaRomanceSchoolSobrenatural,V,2,22,52,1144
Seiken Tsukai No World Break,95,Assistido,Não,2ª Temporada?,2x,,1,12,12,2015,AçãoFantasiaHarém?RomanceSchoolSobrenatural,V,2,22,24,528
Hai To Gensou No Grimgar,95,Assistido,Não,2ª Temporada?,1x,,1,13,13,2016,Ação. Aventura. Drama. Fantasia,V,1,22,13,286
7 Seeds,95,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Blood Lad,95,Assistido,Sim,2ª Temporada?,1x,,1,10,10,2013,AçãoAventuraComédiaDemônioSeinenSobrenaturalVampiros,V,1,22,10,220
Btooom!,95,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Claymore,95,Assistido,Não,2ª Temporada?,1x,,1,26,26,2007,Ação. Aventura. Demônio. Fantasia. Shounen. Sobrenatural. Superpoder,V,1,22,26,572
Seikoku No Dragonar,95,Assistido,Não,2ªTemporada?,1x,,1,12,12,2014,ComédiaEcchiFantasiaSchool,V,1,22,12,264
Ore Wo Suki Nano Wa Omae Dake Ka Yo,95,Assistido,Sim,Quarta-Feira,2x,,1,13,13,2019,Comédia. Romance. Vida Escolar,V,2,22,26,572
Juuou Mujin No Fafnir,95,Assistido,Não,,2x,,1,12,12,2015,FantasiaHarém?RomanceVida Escolar,V,2,22,24,528
Tokyo Esp,95,Assistido,Não,,1x,,1,12,12,2014,AçãoComédiaFicção CientíficaShounenSobrenaturalSuperpoder,V,1,22,12,264
Phantasy Star Online 2,95,Assistido,,,,,1,12,12,2016,AçãoFicção CientíficaJogosSchool,V,1,22,12,264
Maken-Ki,95,Assistido,,,,,1,12,12,2011,AçãoArtes MarciaisEcchiHarém?SchoolSobrenatural,V,1,22,12,264
Sword Art Online 2014,94,Assistido,Não,-,1x,,1,25,25,,,,1,22,25,550
Death March Kara Hajimaru Isekai Kyousoukyoku,94,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
